ID;Công ty/Cơ quan/Đơn vị tuyển dụng;Tỉnh/Thành phố;Phạm vi (Nhà nước/DN trong nước/DN nước ngoài);Ngày đăng;Tháng đăng;Năm đăng;Số lượng tuyển dụng;Số lượng nữ (nếu có);Lĩnh vực tuyển dụng cấp 1 (CNTT/Du lịch/Điện, …);Tên công việc;Vị trí công việc (nếu có);Mức lương (nếu có);Trình độ;Yêu cầu kinh nghiệm/trình độ (năm);Link bài đăng để minh chứng
1;Công Ty Cổ Phần Bất Động Sản Bhs;Bình Định;DN trong nước;19;12;2024;10;0;Bất động sản;Chuyên Viên Kinh Doanh Bất Động Sản (Quy Nhơn);Chuyên viên- nhân viên;10000000 - 50000000;N/A;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/chuyen-vien-kinh-doanh-bat-dong-san-quy-nhon.html
2;Công Ty TNHH Vietnam Concentrix Services;TP.HCM;DN trong nước;14;12;2024;20;0;Chăm sóc khách hàng;Nhân Viên Nhắc Phí - Thu Hồi Phí (Quận 11);Chuyên viên- nhân viên;20000000 - 70000000;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-nhac-phi-thu-hoi-phi-quan-11.html
3;Công Ty TNHH Vietnam Concentrix Services;TP.HCM;DN trong nước;11;12;2024;2;0;Khách sạn - Nhà hàng - Du lịch;Nhân Viên Chăm Sóc Khách Hàng - Hỗ Trợ Tài Xế;Chuyên viên- nhân viên;8000000 - 25000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang-ho-tro-tai-xe.html
4;Công Ty TNHH Truyền Thông Đa Phương Tiện Stcorp;Hà Nội;DN trong nước;10;12;2024;3;0;Marketing;Nhân Viên Truyền Thông - Phỏng Vấn Đi Làm Ngay;Chuyên viên- nhân viên;7000000 - 7500000;Lao động phổ thông;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-truyen-thong-phong-van-di-lam-ngay.html
5;Công Ty Cổ Phần BPO Mắt Bão;TP.HCM;DN trong nước;5;12;2024;20;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Qua Điện Thoại;Chuyên viên- nhân viên;9000000 - 20000000;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-qua-dien-thoai.html
6;Siêu Việt Group;TP.HCM;DN trong nước;19;11;2024;5;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Sản Phẩm Dịch Vụ (Đi Làm Ngay);Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-san-pham-dich-vu-di-lam-ngay.html
7;Khách Hàng Của Việc Làm 24H;TP.HCM;DN trong nước;17;12;2024;20;0;Bán hàng - Kinh doanh;Nhân Viên Tư Vấn Đi Làm Ngay;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-tu-van-di-lam-ngay.html
8;Honda Ô Tô Giải Phóng - Công Ty Cổ Phần Đầu Tư Thương Mại Nam Thái Bình;Hà Nội;DN trong nước;4;12;2024;1;0;Kế toán;Kế Toán Tổng Hợp;Chuyên viên- nhân viên;N/A;N/A;3;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/ke-toan-tong-hop.html
9;Công Ty Cổ Phần BPO Mắt Bão;TP.HCM;DN trong nước;9;12;2024;20;0;Bán hàng - Kinh doanh;Nhân Viên Kinh Doanh Đi Làm Ngay;Chuyên viên- nhân viên;N/A;N/A;2;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-kinh-doanh-di-lam-ngay.html
10;Công Ty TNHH Vietnam Concentrix Services;TP.HCM;DN trong nước;13;12;2024;50;0;Chăm sóc khách hàng;Nhân Viên Chăm Sóc Khách Hàng Quận 9;Chuyên viên- nhân viên;15000000 - 25000000;Trung học;1;https://vieclam24h.vn/ban-si-ban-le-quan-ly-cua-hang/nhan-vien-cham-soc-khach-hang-quan-9.html
