id,time,city,job,number_employees,major,level
1,1695908160000,Hà Nội,ReactJs,1,Công nghệ thông tin,fresher
2,1685487066000,Hồ Chí Minh,Backend Developer,2,Công nghệ thông tin,fresher
3,1689072962000,Hồ Chí Minh,NodeJs,2,Công nghệ thông tin,senior
4,1714943190000,Hồ Chí Minh,DevOps Engineer,2,Công nghệ thông tin,fresher
5,1683174806000,Hà Nội,Frontend Developer,2,Công nghệ thông tin,senior
6,1677120936000,Hồ Chí Minh,Python Developer,3,Công nghệ thông tin,junior
7,1695921879000,Hồ Chí Minh,DevOps Engineer,2,Công nghệ thông tin,senior
8,1683552476000,Hà Nội,Python Developer,1,Công nghệ thông tin,intern
9,1676637659000,Hồ Chí Minh,Backend Developer,1,Công nghệ thông tin,senior
10,1683103577000,Hồ Chí Minh,DevOps Engineer,3,Công nghệ thông tin,middle
11,1689908140000,Hà Nội,Data Scientist,2,Công nghệ thông tin,fresher
12,1681753975000,Hà Nội,Data Scientist,3,Công nghệ thông tin,senior
13,1679033506000,Hồ Chí Minh,Backend Developer,2,Công nghệ thông tin,middle
14,1686967003000,Đà Nẵng,NodeJs,1,Công nghệ thông tin,senior
15,1714719910000,Đà Nẵng,Java Developer,2,Công nghệ thông tin,junior
16,1714342253000,Đà Nẵng,Backend Developer,3,Công nghệ thông tin,middle
17,1691760796000,Đà Nẵng,Python Developer,3,Công nghệ thông tin,senior
18,1705568071000,Đà Nẵng,Backend Developer,2,Công nghệ thông tin,junior
19,1708092405000,Hồ Chí Minh,ReactJs,3,Công nghệ thông tin,intern
20,1709923050000,Đà Nẵng,NodeJs,3,Công nghệ thông tin,junior
21,1715315428000,Đà Nẵng,ReactJs,3,Công nghệ thông tin,senior
22,1705330791000,Hồ Chí Minh,Python Developer,2,Công nghệ thông tin,fresher
23,1690511373000,Hồ Chí Minh,Python Developer,3,Công nghệ thông tin,middle
24,1692928192000,Hà Nội,DevOps Engineer,1,Công nghệ thông tin,middle
25,1713098274000,Hồ Chí Minh,Data Scientist,1,Công nghệ thông tin,junior
26,1675324304000,Đà Nẵng,DevOps Engineer,1,Công nghệ thông tin,senior
27,1707515959000,Đà Nẵng,Backend Developer,1,Công nghệ thông tin,intern
28,1714579453000,Hồ Chí Minh,Frontend Developer,2,Công nghệ thông tin,intern
29,1712753804000,Hồ Chí Minh,DevOps Engineer,3,Công nghệ thông tin,junior
30,1674348573000,Hồ Chí Minh,Data Scientist,1,Công nghệ thông tin,fresher
31,1709557912000,Đà Nẵng,Python Developer,1,Công nghệ thông tin,intern
32,1717168346000,Hồ Chí Minh,Frontend Developer,1,Công nghệ thông tin,intern
33,1707768316000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,intern
34,1682639511000,Hồ Chí Minh,DevOps Engineer,1,Công nghệ thông tin,middle
35,1690466134000,Hà Nội,Frontend Developer,1,Công nghệ thông tin,junior
36,1675670316000,Hồ Chí Minh,NodeJs,1,Công nghệ thông tin,middle
37,1687444040000,Đà Nẵng,DevOps Engineer,3,Công nghệ thông tin,intern
38,1676514941000,Hà Nội,Backend Developer,2,Công nghệ thông tin,middle
39,1714209641000,Hồ Chí Minh,Python Developer,3,Công nghệ thông tin,fresher
40,1698398995000,Hồ Chí Minh,DevOps Engineer,3,Công nghệ thông tin,fresher
41,1693296363000,Hồ Chí Minh,Data Scientist,3,Công nghệ thông tin,junior
42,1707686642000,Hà Nội,Python Developer,2,Công nghệ thông tin,senior
43,1675309257000,Đà Nẵng,Java Developer,3,Công nghệ thông tin,senior
44,1716958672000,Hồ Chí Minh,Frontend Developer,1,Công nghệ thông tin,fresher
45,1687986765000,Đà Nẵng,DevOps Engineer,1,Công nghệ thông tin,junior
46,1706264080000,Đà Nẵng,Java Developer,2,Công nghệ thông tin,intern
47,1679272898000,Hồ Chí Minh,Backend Developer,2,Công nghệ thông tin,senior
48,1704962696000,Đà Nẵng,DevOps Engineer,2,Công nghệ thông tin,intern
49,1677032610000,Đà Nẵng,Python Developer,1,Công nghệ thông tin,junior
50,1686437058000,Đà Nẵng,Frontend Developer,1,Công nghệ thông tin,middle
51,1692392003000,Đà Nẵng,Data Scientist,1,Công nghệ thông tin,senior
52,1696212814000,Hồ Chí Minh,ReactJs,3,Công nghệ thông tin,senior
53,1708882972000,Hà Nội,Java Developer,3,Công nghệ thông tin,middle
54,1678417234000,Hồ Chí Minh,Data Scientist,1,Công nghệ thông tin,middle
55,1694583390000,Hồ Chí Minh,Backend Developer,2,Công nghệ thông tin,fresher
